award,asset_id,doi,initial_funder_id,initial_funder_name,final_funder_name,final_funder_id,handler,change_handler
AST-1140030,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1312651,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1615796,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-0905844,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1743747,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
TG-AST080026N,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1228509,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1614868,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0735191,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0922984,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
11650110427,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1337663,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
MRI-1228509,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AFB-170002,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-0352953,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1310896,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
DBI-0735191,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
10625314,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1207752,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
89233218CNA000001,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1126433,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1816420,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-0096454,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
11725312,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1816420,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
OPP-1248097,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,Bill and Melinda Gates Foundation,F4320306137,<function extract_Bill_and_Melinda_Gates_Foundation_award at 0x1056b9e40>,True
AST-0922984,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0352953,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1716327,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1126433,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
OISE-1743747,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1207752,9924117852001921,https://doi.org/10.3847/2041-8213/ab0f43,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1312651,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0114422,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1207704,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
11633006,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1144085,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
grant ACI-1548562,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1615796,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1265383,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
DBI-1743442,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1140030,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
DGE-1144085,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1743442,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
"DBI-0735191, DBI-1265383",9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1440254,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-0705062,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
PHY-0114422,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1248097,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1310896,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1715061,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
PLR-1248097,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0096454,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0705062,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
11573051,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1715061,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1716327,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
ACI-1548562,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
-1548562,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1548562,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
0905844,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1207730,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1207730,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1207704,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-1140030,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1125897,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1312651,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1615796,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
AST-0905844,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1743747,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
1228509,9924117852101921,https://doi.org/10.3847/2041-8213/ab0e85,F4320306076,National Science Foundation,National Science Foundation,F4320306076,<function extract_NSF_award at 0x12f3c0720>,False
